0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /src/resources/blockimages/0.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /src/resources/blockimages/0.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /src/resources/blockimages/0.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:37 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:38 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:38 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:38 +0900] "GET /src/resources/blockimages/0.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:38 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:45 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 200 18882
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:46 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:46 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:46 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:46 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
